Severity	Code	Description	Project	File	Line	Suppression State
Error	CS8124	Tuple must contain at least two elements.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1026	) expected	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1519	Invalid token '-' in class, record, struct, or interface member declaration	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS8124	Tuple must contain at least two elements.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS8124	Tuple must contain at least two elements.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS8124	Tuple must contain at least two elements.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1026	) expected	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1519	Invalid token '=>' in class, record, struct, or interface member declaration	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1519	Invalid token '=' in class, record, struct, or interface member declaration	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1519	Invalid token '=' in class, record, struct, or interface member declaration	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS8124	Tuple must contain at least two elements.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS1519	Invalid token ';' in class, record, struct, or interface member declaration	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	IDE1007	The name '__o' does not exist in the current context.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	IDE1007	The name '__builder.AddAttribute' does not exist in the current context.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	IDE1007	The name '__builder' does not exist in the current context.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	IDE1007	The name 'AddAttribute' does not exist in the current context.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	IDE1007	The name '__builder2' does not exist in the current context.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	IDE1007	The name '__o' does not exist in the current context.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\ParentComponent.razor	1	Active
Error	CS0103	The name 'context' does not exist in the current context	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Shared\NavMenu.razor	34	Active
Message	IDE0044	Make field readonly	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Models\ComparePropertyAttribute.cs	7	Active
Message	IDE0052	Private member 'ComparePropertyAttribute.v' can be removed as the value assigned to it is never read.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Models\ComparePropertyAttribute.cs	7	Active
Message	IDE0044	Make field readonly	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Models\ComparePropertyAttribute.cs	8	Active
Message	IDE0052	Private member 'ComparePropertyAttribute.errorMessage' can be removed as the value assigned to it is never read.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Models\ComparePropertyAttribute.cs	8	Active
Message	IDE0059	Unnecessary assignment of a value to 'result'	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\EditEmployeeBase.cs	81	Active
Message	IDE1006	Naming rule violation: These words must begin with upper case characters: authenticationStateTask	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\EditEmployeeBase.cs	102	Active
Message	IDE0054	Use compound assignment	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\EmployeeDetailsBase.cs	41	Active
Message	IDE0051	Private member 'EmployeeListBase.LoadEmployees' is unused.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\EmployeeListBase.cs	38	Active
Message	IDE0051	Private member 'EmployeeListBase.ToList' is unused.	EmployeeManagement.Web	B:\dev\BlazorTutorial\EmployeeManagement.Web\Pages\EmployeeListBase.cs	102	Active
